sentence,topic,sentiment,dataset,tokens
slide giáo trình đầy đủ .,1,2,train,"['slide', 'giáo_trình', 'đầy_đủ']"
"nhiệt tình giảng dạy , gần gũi với sinh viên .",0,2,train,"['nhiệt_tình', 'giảng_dạy', 'gần_gũi', 'sinh_viên']"
đi học đầy đủ full điểm chuyên cần .,1,0,train,"['đi', 'học', 'đầy_đủ', 'full', 'chuyên_cần']"
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,0,0,train,"['áp_dụng', 'công_nghệ', 'thông_tin', 'thiết_bị', 'giảng_dạy']"
"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",0,2,train,"['thầy', 'giảng', 'bài_tập', 'ví_dụ', 'lớp']"
"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",0,2,train,"['giảng_viên', 'lên_lớp', 'tích_cực', 'trả_lời', 'câu', 'sinh_viên', 'thường_xuyên', 'câu', 'sinh_viên']"
"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",3,1,train,"['nợ', 'môn', 'học', 'học_kỳ', 'kế_tiếp']"
"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",1,0,train,"['thời_lượng', 'học', 'tiếp_thu', 'hiệu_quả']"
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",1,0,train,"['nội_dung', 'môn_học', 'trọng_tâm', 'hầu_như', 'khái_quát', 'sinh_viên', 'nắm', 'nội_dung', 'môn_học']"
cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,1,0,train,"['trình_bày', 'bảng', 'thay_vì', 'slide']"
thầy rất tận tình và đi dạy rất đúng giờ .,0,2,train,"['thầy', 'tận_tình', 'đi', 'dạy']"
dễ bị áp lực .,3,0,train,['áp_lực']
"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",0,1,train,"['dạy', 'thầy', 'wzjwz208', 'đi', 'nước_ngoài', 'giữa_chừng', 'thầy', 'wzjwz209', 'dạy', 'thay']"
môn học còn dễ cần nâng độ khó lên nữa .,1,0,train,"['môn_học', 'nâng', 'độ']"
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",1,0,train,"['sinh_viên', 'đi', 'thăm', 'quan', 'công_ty', 'quy_mô', 'làm_việc', 'giúp', 'vê', 'ngành', 'học']"
hài lòng về tất cả .,3,2,train,['hài_lòng']
"nhiệt tình , vui vẻ .",0,2,train,"['nhiệt_tình', 'vui_vẻ']"
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,0,2,train,"['nhiệt_tình', 'trao_đổi', 'giúp_đỡ', 'học_tập']"
phong cách giảng bài của thầy rất gần gũi với sinh viên !,0,2,train,"['phong_cách', 'giảng', 'thầy', 'gần_gũi', 'sinh_viên']"
giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,0,2,train,"['giảng_dạy', 'kết_hợp', 'hoạt_động', 'giải_trí', 'hiệu_quả']"
cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,1,0,train,"['seminar', 'sinh_viên', 'sâu', 'chuyên_ngành', 'môn_học']"
tiết học thoải mái .,0,2,train,"['tiết', 'học', 'thoải_mái']"
"thầy nhiệt tình , quan tâm tới sinh viên .",0,2,train,"['thầy', 'nhiệt_tình', 'sinh_viên']"
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",0,2,train,"['giảng_dạy', 'nhiệt_tình', 'hướng_dẫn', 'chi_tiết', 'sinh_viên']"
"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",1,0,train,"['tiết', 'bài_tập', 'chữa', 'bài_tập', 'lớp']"
tài liệu được bổ sung nhiều và đầy đủ trên moodle .,1,2,train,"['tài_liệu', 'bổ_sung', 'đầy_đủ', 'moodle']"
giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,0,0,train,"['giảng_viên', 'ví_dụ', 'kỹ', 'ví_dụ', 'minh_họa', 'lập', 'đi', 'lập', 'cảm_giác', 'chán', 'sinh_viên']"
nên biên soạn một tài liệu của chính trường ta .,1,0,train,"['biên_soạn', 'tài_liệu', 'chính_trường', 'ta']"
không giúp đỡ sinh viên trong những vấn đề xung quanh .,0,0,train,"['giúp_đỡ', 'sinh_viên', 'xung_quanh']"
"bài tập đa dạng , cụ thể .",1,2,train,"['bài_tập', 'đa_dạng']"
"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",1,0,train,"['nội_dung', 'giảng_viên', 'yêu', 'câu', 'seminar', 'hầu_như', 'tài_liệu', 'tham_khảo', 'ứng_dụng', 'đề_nghị', 'năm_học']"
slide up đầy đủ trước mỗi buổi học .,1,2,train,"['slide', 'up', 'đầy_đủ', 'học']"
"nội dung giảng dạy quá nhàm chán , khô khan .",1,0,train,"['nội_dung', 'giảng_dạy', 'nhàm_chán', 'khô_khan']"
lượng kiến thức quá nhiều trong một học kỳ .,1,0,train,"['kiến_thức', 'học_kỳ']"
thầy chép bảng nhiều .,0,0,train,"['thầy', 'chép', 'bảng']"
"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",0,2,train,"['thầy', 'tận_tình', 'hướng_dẫn', 'giải_quyết', 'thắc_mắc', 'sinh_viên']"
"chúc các thầy cô , anh chị làm việc vui vẻ !",3,2,train,"['chúc', 'thầy', 'anh_chị', 'làm_việc', 'vui_vẻ']"
"hay , nhiệt tình , dễ hiểu .",0,2,train,['nhiệt_tình']
"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",0,0,train,"['mặc_dù', 'nhiệt_tình', 'truyền_đạt', 'ngôn_từ']"
"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",0,2,train,"['thầy', 'dạy', 'cung_cấp', 'thông_tin', 'môn_học', 'hướng', 'giải_quyết', 'sinh_viên', 'đồ_án']"
hy vọng học kỳ sau có thể học được với cô .,0,2,train,"['hy_vọng', 'học_kỳ', 'học']"
nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,1,0,train,"['lên_lớp_học', 'môn', 'đặc_tả', 'hình_thức', 'lên_lớp_học', 'học']"
trong khi giảng nói nhỏ quá .,0,0,train,['giảng']
thực hành khó hiểu .,1,0,train,['thực_hành']
"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",0,2,train,"['thầy', 'tận_tâm', 'nhiệt_tình', 'sinh_viên', 'giảng', 'kiến_thức', 'sâu_rộng', 'am_hiểu']"
"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",0,2,train,"['dạy', 'nhiệt_huyết', 'mỉm', 'cười', 'kiên_trì', 'giảng']"
"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",0,2,train,"['lên_lớp', 'giảng', 'sinh_viên']"
"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",0,0,train,"['thông_tin', 'cần_thiết', 'doubledot', 'dealine', 'nộp', 'dặn', 'lớp', 'thực_hành', 'hai']"
"thầy nhiệt tình , dễ chịu .",0,2,train,"['thầy', 'nhiệt_tình', 'dễ_chịu']"
"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .",0,0,train,"['giảng_viên', 'đi_sâu', 'bản_chất', 'học', 'bản_chất', 'ứng_dụng', 'chuyên', 'nghành']"
đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,0,2,train,"['thầy', 'công_sức', 'bài_tập', 'chấm', 'rõ_ràng', 'minh_bạch']"
cô rất nhiệt tình và tận dụng tốt thời gian .,1,2,train,"['nhiệt_tình', 'tận_dụng']"
"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",0,2,train,"['giảng_viên', 'tận_tâm', 'nhiệt_huyết', 'giảng_dạy']"
"thầy nhiệt tình , gần gũi .",0,2,train,"['thầy', 'nhiệt_tình', 'gần_gũi']"
"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .",0,2,train,"['giảng_viên', 'tận_tâm', 'giảng', 'tiếp_thu']"
tạo ra sự cạnh tranh trong mỗi buổi thực hành .,0,1,train,"['cạnh_tranh', 'thực_hành']"
bài tập và có code tham khảo .,1,2,train,"['bài_tập', 'code', 'tham_khảo']"
"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",2,0,train,"['nâng_cấp', 'hệ_thống', 'wifi', 'phòng', 'thực_hành', 'sinh_viên', 'truy_cập', 'internet', 'buộc', 'phép']"
tài liệu không chi tiết lắm .,1,0,train,"['tài_liệu', 'chi_tiết', 'lắm']"
"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .",0,2,train,"['tận_tâm', 'nhiệt_tình', 'vui_tính', 'sinh_viên']"
thầy dạy rất hay và nhiệt tình .,0,2,train,"['thầy', 'dạy', 'nhiệt_tình']"
"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",0,0,train,"['thầy', 'dạy', 'hướng_dẫn', 'sinh_viên', 'thực_hành']"
giúp đỡ học sinh quá ít .,0,0,train,"['giúp_đỡ', 'học_sinh']"
cô dạy buồn ngủ quá .,0,0,train,"['dạy', 'buồn_ngủ']"
nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,1,0,train,"['kinh', 'mong', 'nội_dung', 'môn_học', 'tải', 'đặc_thù', 'trường', 'công_nghệ', 'thông_tin']"
thầy tận tình vui tính .,0,2,train,"['thầy', 'tận_tình', 'vui_tính']"
cô lại kiểu khó tính nữa .,0,0,train,"['kiểu', 'khó_tính']"
tạo hứng thú cho sinh viên .,0,2,train,"['hứng_thú', 'sinh_viên']"
cô giảng hay cuốn hút và truyền đạt dễ hiểu .,0,2,train,"['giảng', 'cuốn_hút', 'truyền_đạt']"
có hứng thú học .,0,2,train,"['hứng_thú', 'học']"
ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,1,1,train,"['ôn_tập', 'thầy', 'kỳ', 'mấy']"
"giảng viên hướng dẫn cụ thể , chi tiết .",0,2,train,"['giảng_viên', 'hướng_dẫn', 'chi_tiết']"
giáo trình quá ít và nội dung không khác nhau là mấy .,1,0,train,"['giáo_trình', 'nội_dung', 'mấy']"
