,sentence,topic,sentiment,tokens,dataset
0,"dạy dễ hiểu , thân thiện .",0,2,"['dạy', 'thân_thiện']",train
1,"giáo viên thực hành cần năng động hơn , thầy có vẻ hơi thụ động trong giờ thực hành , không tạo cảm hứng cho sinh viên .",0,0,"['giáo_viên', 'thực_hành', 'năng_động', 'thầy', 'vẻ', 'hơi', 'thụ_động', 'thực_hành', 'cảm_hứng', 'sinh_viên']",train
2,giảng viên cần doubledot cho bài tập thêm về ngữ pháp .,0,0,"['giảng_viên', 'doubledot', 'bài_tập', 'ngữ_pháp']",train
3,thầy dạy tốt và rất nhiệt tình .,0,2,"['thầy', 'dạy', 'nhiệt_tình']",train
4,em rất hài lòng về phương pháp dạy này .,0,2,"['hài_lòng', 'phương_pháp', 'dạy']",train
5,"khi lớp có các bạn vắng quá nhiều , thầy gọi lớp trưởng để nhác nhở các bạn trong lớp đi học .",0,2,"['lớp', 'vắng', 'thầy', 'gọi', 'lớp', 'trưởng', 'nhác', 'nhở', 'lớp', 'đi', 'học']",train
6,"vui vẻ , cởi mở .",0,2,"['vui_vẻ', 'cởi_mở']",train
7,"giáo viên dạy nhiệt tình , đảm bảo kiến thức cho sinh viên , lên lớp đúng giờ .",0,2,"['giáo_viên', 'dạy', 'nhiệt_tình', 'kiến_thức', 'sinh_viên', 'lên_lớp']",train
8,cần có thêm vài ví dụ cụ thể .,1,0,['ví_dụ'],train
9,hơi khó tính nhưng cái khó tính đó giúp ích cho em rất nhiều !,0,2,"['hơi', 'khó_tính', 'khó_tính', 'giúp_ích']",train
10,màn hình chiếu của phòng còn mờ .,2,0,"['màn_hình_chiếu', 'phòng', 'mờ']",train
11,thêm các buổi làm và sửa bài tập .,1,0,"['sửa', 'bài_tập']",train
12,dạy nhiều kiến thức ngoài xã hội .,0,2,"['dạy', 'kiến_thức', 'xã_hội']",train
13,môn học không giúp ích được cho cuộc song sau này ( môn võ ) fraction chỉ đánh bài quyền cơ bản thì không thể tự vệ bản thân được .,1,0,"['môn_học', 'giúp_ích', 'song', 'môn', 'võ', 'fraction', 'đánh_bài', 'quyền', 'cơ_bản', 'tự_vệ']",train
14,thầy rất nhiệt tình với sinh viên !,0,2,"['thầy', 'nhiệt_tình', 'sinh_viên']",train
15,"thầy không hiểu nhưng với em thấy buồn cho kết quả của môn học này kết quả không phải là điểm thưa thầy , kết quả mà em muốn được là khả năng nhận thức bản thân qua môn này được thầy giảng dạy .",0,0,"['thầy', 'buồn', 'kết_quả', 'môn_học', 'kết_quả', 'thưa', 'thầy', 'kết_quả', 'khả_năng', 'nhận_thức', 'môn', 'thầy', 'giảng_dạy']",train
16,giảng rất chi tiết .,0,2,"['giảng', 'chi_tiết']",train
17,nhiệt tâm .,0,2,['nhiệt_tâm'],train
18,"cô dạy rất tốt , nhiệt tình dễ hiểu .",0,2,"['dạy', 'nhiệt_tình']",train
19,học theo đúng thời khóa biểu .,3,2,"['học', 'thời', 'khóa', 'biểu']",train
20,hài lòng hết !,3,2,['hài_lòng'],train
21,"giảng rất dễ hiểu , liên hệ thực tế nhiều .",0,2,"['giảng', 'liên_hệ']",train
22,thầy giảng còn hơi khó hiểu khó tiếp thu .,0,0,"['thầy', 'giảng', 'hơi', 'tiếp_thu']",train
23,thầy bận lịch của trường nên một vài buổi học thầy không lên lớp được .,0,0,"['thầy', 'bận', 'lịch', 'trường', 'học', 'thầy', 'lên_lớp']",train
24,giảng viên chú trọng vào nội dung chính của môn học và nhiệt tình .,0,2,"['giảng_viên', 'chú_trọng', 'nội_dung', 'môn_học', 'nhiệt_tình']",train
25,"giáo viên ngoài việc dạy kiến thức chuyên ngành , còn chia sẻ những kinh nghiệm thực tế của giảng viên rất bổ ích .",0,2,"['giáo_viên', 'dạy', 'kiến_thức', 'chuyên_ngành', 'kinh_nghiệm', 'giảng_viên', 'bổ_ích']",train
26,"cô vui tính , hiểu tâm lý sinh viên nên giảng bài rất dễ hiểu .",0,2,"['vui_tính', 'tâm_lý', 'sinh_viên', 'giảng']",train
27,máy ở phòng thực hành quá tệ .,2,0,"['máy', 'phòng', 'thực_hành', 'tệ']",train
28,gửi mail không trả lời .,0,0,"['gửi', 'mail', 'trả_lời']",train
29,tạo ra sự cạnh tranh trong mỗi buổi thực hành .,0,1,"['cạnh_tranh', 'thực_hành']",train
30,em quen ngồi máy tính tìm hiểu hơn là học môn này buồn ngủ .,0,0,"['quen', 'máy_tính', 'học', 'môn', 'buồn_ngủ']",train
31,"giảng viên nhiệt tình , cho bài tập đầy đủ , sử dụng giờ lên lớp hiệu quả và đúng giờ .",0,2,"['giảng_viên', 'nhiệt_tình', 'bài_tập', 'đầy_đủ', 'lên_lớp', 'hiệu_quả']",train
32,máy chiếu tại phòng học còn mờ .,2,0,"['máy_chiếu', 'phòng', 'học', 'mờ']",train
33,thầy dạy vô cùng chán và không có tâm huyết .,0,0,"['thầy', 'dạy', 'vô_cùng', 'chán', 'tâm_huyết']",train
34,cô dạy còn hơi nhanh hơi thuần lý thuyết .,0,0,"['dạy', 'hơi', 'hơi', 'lý_thuyết']",train
35,"thầy tận tình , giảng dạy hay , có nhiều ví dụ thực tế cho sinh viên dễ hiểu .",0,2,"['thầy', 'tận_tình', 'giảng_dạy', 'ví_dụ', 'sinh_viên']",train
36,"thời gian học tập thoải mái , thầy rất hiểu tâm lý sinh viên .",0,2,"['học_tập', 'thoải_mái', 'thầy', 'tâm_lý', 'sinh_viên']",train
37,"giảng viên nói tiếng anh hơi khó nghe , nói nhỏ , ít sử dụng micro .",0,0,"['giảng_viên', 'tiếng', 'hơi', 'micro']",train
38,"thầy dạy dễ hiểu , cho bài tập nhiều .",0,2,"['thầy', 'dạy', 'bài_tập']",train
39,bài tập chất lượng .,1,2,"['bài_tập', 'chất_lượng']",train
40,"thầy tận tâm , nhiệt tình giúp đỡ , giải đáp thắc mắc cho sinh viên .",0,2,"['thầy', 'tận_tâm', 'nhiệt_tình', 'giúp_đỡ', 'giải_đáp', 'thắc_mắc', 'sinh_viên']",train
41,chu đáo và ân cần .,0,2,"['chu_đáo', 'ân_cần']",train
42,"cần có những lớp training cho các bạn yếu , mất căn bản .",1,0,"['lớp', 'training', 'yếu', 'căn_bản']",train
43,"cô nói hơi dài dòng , đôi chỗ hơi khó hiểu .",3,0,"['hơi', 'dài_dòng', 'đôi', 'chỗ', 'hơi']",train
44,dạy ở giảng đường mà không ngồi trên thì khó thấy bảng colonbigsmile .,0,0,"['dạy', 'giảng_đường', 'bảng', 'colonbigsmile']",train
45,"em cảm thấy nếu có lộ trình để áp dụng phương pháp này một cách cụ thể thì nên áp dụng , còn không thì cứ theo phương pháp truyền thống đi ạ !",1,0,"['lộ_trình', 'áp_dụng', 'phương_pháp', 'áp_dụng', 'phương_pháp', 'truyền_thống', 'đi']",train
46,nên tự tin hơn trong việc giảng dạy .,0,0,"['tự_tin', 'giảng_dạy']",train
47,sinh viên có nhiều môn học nên khó mà chỉ đầu tư quá nhiều cho một môn .,1,0,"['sinh_viên', 'môn_học', 'đầu_tư', 'môn']",train
48,cô rất tận tâm và nhiệt huyết .,0,2,"['tận_tâm', 'nhiệt_huyết']",train
49,thầy rất nhiệt tình và chia sẻ nhiều chủ đề thú vị .,0,2,"['thầy', 'nhiệt_tình', 'chủ_đề', 'thú_vị']",train
50,máy chiếu phòng học quá mờ .,2,0,"['máy_chiếu', 'phòng', 'học', 'mờ']",train
51,"nhiệt tình , tận tâm và tuyệt vời .",0,2,"['nhiệt_tình', 'tận_tâm', 'tuyệt_vời']",train
52,"cách dạy của thầy cứ như là đọc chữ trong slide ra , không bao giờ có ví dụ , có demo cụ thể , sinh động .",0,0,"['dạy', 'thầy', 'đọc', 'chữ', 'slide', 'ví_dụ', 'demo', 'sinh_động']",train
53,"cô dạy rất nhiệt huyết , dạy để hiểu , hiểu bản chất , chứ không phải dạy kiến thức suông như một số giáo viên khác .",0,2,"['dạy', 'nhiệt_huyết', 'dạy', 'bản_chất', 'dạy', 'kiến_thức', 'suông', 'giáo_viên']",train
54,"nội dung bài giảng dễ hiểu , giảng viên nhiệt tình , vui tính .",0,2,"['nội_dung', 'giảng', 'giảng_viên', 'nhiệt_tình', 'vui_tính']",train
55,giảng viên còn thiếu kinh nghiệm truyền đạt .,0,0,"['giảng_viên', 'kinh_nghiệm', 'truyền_đạt']",train
56,"cài phầm mềm của khoa wzjwz189 cực kỳ khó chịu , không biết mình sai chỗ nào .",2,0,"['cài', 'phầm', 'mềm', 'khoa', 'wzjwz189', 'cực_kỳ', 'khó_chịu', 'sai', 'chỗ']",train
57,giảng và giải bài quá nhanh .,0,0,"['giảng', 'giải']",train
58,"cô dạy nhiệt tình , dễ hiểu , quan tâm sinh viên .",0,2,"['dạy', 'nhiệt_tình', 'sinh_viên']",train
59,có nhiều trang thiết bị giảng dạy hơn .,2,0,"['trang', 'thiết_bị', 'giảng_dạy']",train
60,"cuối cùng , em xin cảm ơn vì thầy fraction cô đã đọc đến hết .",3,1,"['thầy', 'fraction', 'đọc']",train
61,thầy dạy nhiệt tình dễ hiểu .,0,2,"['thầy', 'dạy', 'nhiệt_tình']",train
62,thầy bận đôi khi nghỉ không báo trước .,0,0,"['thầy', 'bận', 'đôi_khi', 'nghỉ', 'báo']",train
63,"kết quả thực hành , đánh giá chưa quy chuẩn , còn qua loa .",0,0,"['kết_quả_thực_hành', 'quy_chuẩn', 'qua_loa']",train
64,cô nói hơi nhỏ nên hơi buồn ngủ .,0,0,"['hơi', 'hơi', 'buồn_ngủ']",train
65,"thầy rất nhiệt tình , luôn đến lớp đúng giờ .",0,2,"['thầy', 'nhiệt_tình', 'lớp']",train
66,cô thoải mái .,3,2,['thoải_mái'],train
67,thầy sáng tạo .,0,2,"['thầy', 'sáng_tạo']",train
68,cập nhật chương trình học .,1,0,"['cập_nhật', 'chương_trình', 'học']",train
69,"nhưng giảng viên cho thực hiện đồ án với một ngôn ngữ hoàn toàn mới với hầu hết sinh viên html , cs , php cơ sở dữ liệu elg , tài liệu mô tả hoàn toàn không rõ ràng nhưng giảng viên buộc sinh viên liên tục liên hệ để giải quyết .",0,0,"['giảng_viên', 'đồ_án', 'ngôn_ngữ', 'sinh_viên', 'html', 'cs', 'php', 'cơ_sở', 'dữ_liệu', 'elg', 'tài_liệu', 'mô_tả', 'rõ_ràng', 'giảng_viên', 'buộc', 'sinh_viên', 'liên_tục', 'liên_hệ', 'giải_quyết']",train
70,"giảng viên tận tâm , nhiệt tình đới với sinh viên .",0,2,"['giảng_viên', 'tận_tâm', 'nhiệt_tình', 'đới', 'sinh_viên']",train
71,"bài giảng hay , bài tập đầy đủ .",1,2,"['giảng', 'bài_tập', 'đầy_đủ']",train
72,cách truyền đạt của giáo viên chưa có sức hút đối với sinh viên nhiều cho lắm .,0,0,"['truyền_đạt', 'giáo_viên', 'sức', 'hút', 'sinh_viên', 'lắm']",train
73,"gói gọn doubledot hay , tận tình , phù hợp với mọi trình độ cũng như nhu cầu môn học .",0,2,"['gói', 'gọn', 'doubledot', 'tận_tình', 'trình_độ', 'nhu_cầu_môn_học']",train
74,tận tình chu đáo .,0,2,"['tận_tình', 'chu_đáo']",train
75,em không có bất kỳ điều gì hài hòng .,3,0,"['hài', 'hòng']",train
76,"thầy giảng bài vô cùng thu hút , dễ hiểu , không bị nhàm chán .",0,2,"['thầy', 'giảng', 'vô_cùng', 'thu_hút', 'nhàm_chán']",train
